"nom_mun","edad","pob_tot","pob_h","pob_m","CVEGEO"
"Atlacomulco","4 Años",2042,1066,976,"15 014"
"Atlacomulco","5 Años",2025,1025,1000,"15 014"
"Atlacomulco","6 Años",2010,996,1014,"15 014"
"Atlacomulco","7 Años",2094,1044,1050,"15 014"
"Atlacomulco","8 Años",2223,1099,1124,"15 014"
"Atlacomulco","9 Años",2089,1026,1063,"15 014"
"Atlacomulco","10 Años",2319,1189,1130,"15 014"
"Atlacomulco","11 Años",2040,1016,1024,"15 014"
"Atlacomulco","12 Años",2248,1138,1110,"15 014"
"Atlacomulco","13 Años",2156,1077,1079,"15 014"
"Atlacomulco","14 Años",2171,1046,1125,"15 014"
"Atlacomulco","15 Años",2256,1111,1145,"15 014"
"Atlacomulco","16 Años",2076,1067,1009,"15 014"
"Atlacomulco","17 Años",2147,1117,1030,"15 014"
"Atlacomulco","18 Años",2232,1106,1126,"15 014"
"Atlacomulco","19 Años",1816,913,903,"15 014"
"Atlacomulco","20 Años",2237,1053,1184,"15 014"
"Atlacomulco","21 Años",1726,876,850,"15 014"
"Atlacomulco","22 Años",1915,949,966,"15 014"
"Atlacomulco","23 Años",1817,902,915,"15 014"
"Atlacomulco","24 Años",1833,874,959,"15 014"
"Atlautla","Total",31900,15585,16315,"15 015"
"Atlautla","3 Años",545,258,287,"15 015"
"Atlautla","4 Años",590,305,285,"15 015"
"Atlautla","5 Años",625,351,274,"15 015"
"Atlautla","6 Años",577,305,272,"15 015"
"Atlautla","7 Años",560,289,271,"15 015"
"Atlautla","8 Años",627,324,303,"15 015"
"Atlautla","9 Años",579,283,296,"15 015"
"Atlautla","10 Años",641,336,305,"15 015"
"Atlautla","11 Años",514,260,254,"15 015"
"Atlautla","12 Años",651,338,313,"15 015"
"Atlautla","13 Años",526,255,271,"15 015"
"Atlautla","14 Años",549,235,314,"15 015"
"Atlautla","15 Años",565,300,265,"15 015"
"Atlautla","16 Años",608,297,311,"15 015"
"Atlautla","17 Años",587,295,292,"15 015"
"Atlautla","18 Años",585,304,281,"15 015"
"Atlautla","19 Años",525,280,245,"15 015"
"Atlautla","20 Años",596,304,292,"15 015"
"Atlautla","21 Años",467,216,251,"15 015"
"Atlautla","22 Años",617,329,288,"15 015"
"Atlautla","23 Años",529,254,275,"15 015"
"Atlautla","24 Años",549,283,266,"15 015"
"Axapusco","Total",29128,14287,14841,"15 016"
"Axapusco","3 Años",495,235,260,"15 016"
"Axapusco","4 Años",518,265,253,"15 016"
"Axapusco","5 Años",514,263,251,"15 016"
"Axapusco","6 Años",503,263,240,"15 016"
"Axapusco","7 Años",507,259,248,"15 016"
"Axapusco","8 Años",530,282,248,"15 016"
"Axapusco","9 Años",502,245,257,"15 016"
"Axapusco","10 Años",533,259,274,"15 016"
"Axapusco","11 Años",513,254,259,"15 016"
"Axapusco","12 Años",566,293,273,"15 016"
"Axapusco","13 Años",581,319,262,"15 016"
"Axapusco","14 Años",598,285,313,"15 016"
"Axapusco","15 Años",579,282,297,"15 016"
"Axapusco","16 Años",508,250,258,"15 016"
"Axapusco","17 Años",583,298,285,"15 016"
"Axapusco","18 Años",551,303,248,"15 016"
"Axapusco","19 Años",478,228,250,"15 016"
"Axapusco","20 Años",530,262,268,"15 016"
"Axapusco","21 Años",451,229,222,"15 016"
"Axapusco","22 Años",488,227,261,"15 016"
"Axapusco","23 Años",479,247,232,"15 016"
"Axapusco","24 Años",441,224,217,"15 016"
"Ayapango","Total",10053,4810,5243,"15 017"
"Ayapango","3 Años",187,97,90,"15 017"
"Ayapango","4 Años",149,67,82,"15 017"
"Ayapango","5 Años",164,78,86,"15 017"
"Ayapango","6 Años",164,82,82,"15 017"
"Ayapango","7 Años",182,91,91,"15 017"
"Ayapango","8 Años",183,86,97,"15 017"
"Ayapango","9 Años",179,91,88,"15 017"
"Ayapango","10 Años",188,98,90,"15 017"
"Ayapango","11 Años",205,109,96,"15 017"
"Ayapango","12 Años",184,87,97,"15 017"
"Ayapango","13 Años",206,95,111,"15 017"
"Ayapango","14 Años",177,79,98,"15 017"
"Ayapango","15 Años",173,90,83,"15 017"
"Ayapango","16 Años",140,76,64,"15 017"
"Ayapango","17 Años",166,86,80,"15 017"
"Ayapango","18 Años",197,97,100,"15 017"
"Ayapango","19 Años",167,81,86,"15 017"
"Ayapango","20 Años",176,89,87,"15 017"
"Ayapango","21 Años",159,80,79,"15 017"
"Ayapango","22 Años",180,102,78,"15 017"
"Ayapango","23 Años",148,77,71,"15 017"
"Ayapango","24 Años",149,69,80,"15 017"
"Calimaya","Total",68489,33388,35101,"15 018"
"Calimaya","3 Años",1240,585,655,"15 018"
"Calimaya","4 Años",1152,577,575,"15 018"
"Calimaya","5 Años",1204,620,584,"15 018"
"Calimaya","6 Años",1251,648,603,"15 018"
"Calimaya","7 Años",1281,622,659,"15 018"
"Calimaya","8 Años",1254,610,644,"15 018"
"Calimaya","9 Años",1240,642,598,"15 018"
"Calimaya","10 Años",1308,672,636,"15 018"
"Calimaya","11 Años",1247,663,584,"15 018"
"Calimaya","12 Años",1292,636,656,"15 018"
"Calimaya","13 Años",1210,599,611,"15 018"
"Calimaya","14 Años",1161,562,599,"15 018"
"Calimaya","15 Años",1221,612,609,"15 018"
"Calimaya","16 Años",1284,616,668,"15 018"
"Calimaya","17 Años",1274,642,632,"15 018"
"Calimaya","18 Años",1371,654,717,"15 018"
"Calimaya","19 Años",1091,547,544,"15 018"
"Calimaya","20 Años",1207,600,607,"15 018"
"Calimaya","21 Años",968,472,496,"15 018"
"Calimaya","22 Años",1142,563,579,"15 018"
"Calimaya","23 Años",976,496,480,"15 018"
"Calimaya","24 Años",1045,513,532,"15 018"
"Capulhuac","Total",36921,17778,19143,"15 019"
"Capulhuac","3 Años",692,356,336,"15 019"
"Capulhuac","4 Años",696,327,369,"15 019"
"Capulhuac","5 Años",672,323,349,"15 019"
"Capulhuac","6 Años",644,302,342,"15 019"
"Capulhuac","7 Años",638,311,327,"15 019"
"Capulhuac","8 Años",651,331,320,"15 019"
"Capulhuac","9 Años",610,305,305,"15 019"
"Capulhuac","10 Años",690,341,349,"15 019"
"Capulhuac","11 Años",608,296,312,"15 019"
"Capulhuac","12 Años",700,362,338,"15 019"
"Capulhuac","13 Años",650,323,327,"15 019"
"Capulhuac","14 Años",634,297,337,"15 019"
"Capulhuac","15 Años",662,314,348,"15 019"
"Capulhuac","16 Años",635,296,339,"15 019"
"Capulhuac","17 Años",672,338,334,"15 019"
"Capulhuac","18 Años",741,352,389,"15 019"
"Capulhuac","19 Años",613,292,321,"15 019"
