"nom_mun","edad","pob_tot","pob_h","pob_m"
"Axapusco","4 Años",518,265,253
"Axapusco","5 Años",514,263,251
"Axapusco","6 Años",503,263,240
"Axapusco","7 Años",507,259,248
"Axapusco","8 Años",530,282,248
"Axapusco","9 Años",502,245,257
"Axapusco","10 Años",533,259,274
"Axapusco","11 Años",513,254,259
"Axapusco","12 Años",566,293,273
"Axapusco","13 Años",581,319,262
"Axapusco","14 Años",598,285,313
"Axapusco","15 Años",579,282,297
"Axapusco","16 Años",508,250,258
"Axapusco","17 Años",583,298,285
"Axapusco","18 Años",551,303,248
"Axapusco","19 Años",478,228,250
"Axapusco","20 Años",530,262,268
"Axapusco","21 Años",451,229,222
"Axapusco","22 Años",488,227,261
"Axapusco","23 Años",479,247,232
"Axapusco","24 Años",441,224,217
"Ayapango","Total",10053,4810,5243
"Ayapango","3 Años",187,97,90
"Ayapango","4 Años",149,67,82
"Ayapango","5 Años",164,78,86
"Ayapango","6 Años",164,82,82
"Ayapango","7 Años",182,91,91
"Ayapango","8 Años",183,86,97
"Ayapango","9 Años",179,91,88
"Ayapango","10 Años",188,98,90
"Ayapango","11 Años",205,109,96
"Ayapango","12 Años",184,87,97
"Ayapango","13 Años",206,95,111
"Ayapango","14 Años",177,79,98
"Ayapango","15 Años",173,90,83
"Ayapango","16 Años",140,76,64
"Ayapango","17 Años",166,86,80
"Ayapango","18 Años",197,97,100
"Ayapango","19 Años",167,81,86
"Ayapango","20 Años",176,89,87
"Ayapango","21 Años",159,80,79
"Ayapango","22 Años",180,102,78
"Ayapango","23 Años",148,77,71
"Ayapango","24 Años",149,69,80
"Calimaya","Total",68489,33388,35101
"Calimaya","3 Años",1240,585,655
"Calimaya","4 Años",1152,577,575
"Calimaya","5 Años",1204,620,584
"Calimaya","6 Años",1251,648,603
"Calimaya","7 Años",1281,622,659
"Calimaya","8 Años",1254,610,644
"Calimaya","9 Años",1240,642,598
"Calimaya","10 Años",1308,672,636
"Calimaya","11 Años",1247,663,584
"Calimaya","12 Años",1292,636,656
"Calimaya","13 Años",1210,599,611
"Calimaya","14 Años",1161,562,599
"Calimaya","15 Años",1221,612,609
"Calimaya","16 Años",1284,616,668
"Calimaya","17 Años",1274,642,632
"Calimaya","18 Años",1371,654,717
"Calimaya","19 Años",1091,547,544
"Calimaya","20 Años",1207,600,607
"Calimaya","21 Años",968,472,496
"Calimaya","22 Años",1142,563,579
"Calimaya","23 Años",976,496,480
"Calimaya","24 Años",1045,513,532
"Capulhuac","Total",36921,17778,19143
"Capulhuac","3 Años",692,356,336
"Capulhuac","4 Años",696,327,369
"Capulhuac","5 Años",672,323,349
"Capulhuac","6 Años",644,302,342
"Capulhuac","7 Años",638,311,327
"Capulhuac","8 Años",651,331,320
"Capulhuac","9 Años",610,305,305
"Capulhuac","10 Años",690,341,349
"Capulhuac","11 Años",608,296,312
"Capulhuac","12 Años",700,362,338
"Capulhuac","13 Años",650,323,327
"Capulhuac","14 Años",634,297,337
"Capulhuac","15 Años",662,314,348
"Capulhuac","16 Años",635,296,339
"Capulhuac","17 Años",672,338,334
"Capulhuac","18 Años",741,352,389
"Capulhuac","19 Años",613,292,321
"Capulhuac","20 Años",737,378,359
"Capulhuac","21 Años",587,299,288
"Capulhuac","22 Años",676,342,334
"Capulhuac","23 Años",611,299,312
"Capulhuac","24 Años",611,289,322
"Chalco","Total",400057,193129,206928
"Chalco","3 Años",6971,3516,3455
"Chalco","4 Años",7076,3589,3487
"Chalco","5 Años",6834,3503,3331
"Chalco","6 Años",6646,3343,3303
"Chalco","7 Años",6763,3464,3299
"Chalco","8 Años",7426,3842,3584
"Chalco","9 Años",6803,3332,3471
"Chalco","10 Años",7656,3951,3705
"Chalco","11 Años",7169,3687,3482
"Chalco","12 Años",8002,3783,4219
"Chalco","13 Años",7982,3696,4286
"Chalco","14 Años",8136,3664,4472
"Chalco","15 Años",8012,3774,4238
"Chalco","16 Años",7340,3545,3795
"Chalco","17 Años",7493,3759,3734
"Chalco","18 Años",7679,3945,3734
"Chalco","19 Años",6561,3263,3298
"Chalco","20 Años",7528,3707,3821
"Chalco","21 Años",6126,3017,3109
"Chalco","22 Años",6974,3483,3491
"Chalco","23 Años",6498,3257,3241
"Chalco","24 Años",6541,3158,3383
"Chapa de Mota","Total",31737,15524,16213
"Chapa de Mota","3 Años",592,282,310
"Chapa de Mota","4 Años",640,317,323
"Chapa de Mota","5 Años",639,317,322
"Chapa de Mota","6 Años",601,305,296
"Chapa de Mota","7 Años",624,312,312
"Chapa de Mota","8 Años",678,350,328
"Chapa de Mota","9 Años",616,324,292
"Chapa de Mota","10 Años",688,363,325
"Chapa de Mota","11 Años",629,322,307
"Chapa de Mota","12 Años",646,322,324
"Chapa de Mota","13 Años",625,310,315
"Chapa de Mota","14 Años",639,319,320
"Chapa de Mota","15 Años",663,354,309
"Chapa de Mota","16 Años",588,297,291
"Chapa de Mota","17 Años",687,355,332
"Chapa de Mota","18 Años",646,330,316
"Chapa de Mota","19 Años",537,258,279
"Chapa de Mota","20 Años",575,286,289
"Chapa de Mota","21 Años",498,257,241
"Chapa de Mota","22 Años",555,271,284
"Chapa de Mota","23 Años",505,232,273
"Chapa de Mota","24 Años",557,290,267
"Chapultepec","Total",12772,6165,6607
"Chapultepec","3 Años",211,92,119
"Chapultepec","4 Años",205,118,87
"Chapultepec","5 Años",209,122,87
"Chapultepec","6 Años",210,94,116
"Chapultepec","7 Años",237,110,127
"Chapultepec","8 Años",238,116,122
"Chapultepec","9 Años",226,115,111
"Chapultepec","10 Años",259,121,138
"Chapultepec","11 Años",242,129,113
"Chapultepec","12 Años",249,131,118
"Chapultepec","13 Años",255,138,117
"Chapultepec","14 Años",268,142,126
"Chapultepec","15 Años",253,107,146
"Chapultepec","16 Años",238,124,114
"Chapultepec","17 Años",262,137,125
"Chapultepec","18 Años",236,107,129
"Chapultepec","19 Años",230,108,122
"Chapultepec","20 Años",248,130,118
"Chapultepec","21 Años",192,95,97
"Chapultepec","22 Años",212,100,112
"Chapultepec","23 Años",196,95,101
"Chapultepec","24 Años",214,105,109
"Chiautla","Total",30045,14668,15377
"Chiautla","3 Años",459,225,234
"Chiautla","4 Años",514,272,242
"Chiautla","5 Años",478,230,248
"Chiautla","6 Años",448,230,218
"Chiautla","7 Años",454,253,201
"Chiautla","8 Años",506,258,248
"Chiautla","9 Años",478,237,241
"Chiautla","10 Años",540,265,275
"Chiautla","11 Años",521,286,235
"Chiautla","12 Años",550,305,245
"Chiautla","13 Años",521,269,252
"Chiautla","14 Años",582,282,300
"Chiautla","15 Años",558,280,278
"Chiautla","16 Años",529,269,260
"Chiautla","17 Años",556,283,273
"Chiautla","18 Años",595,312,283
"Chiautla","19 Años",470,244,226
"Chiautla","20 Años",657,333,324
"Chiautla","21 Años",460,233,227
"Chiautla","22 Años",498,252,246
"Chiautla","23 Años",491,234,257
"Chiautla","24 Años",491,258,233
"Chicoloapan","Total",200750,97195,103555
"Chicoloapan","3 Años",3459,1712,1747
"Chicoloapan","4 Años",3618,1823,1795
